X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-53.2299649088306,-10.1784492069764,848b937ffffffff,4,0,0,35.9267238998649,,224.103164424771
-68.1949386702822,-10.6421219558047,848b425ffffffff,4,0,0,1209.531782209,,2300.99274438992
-57.7053271040163,-3.25160805588963,848a8cdffffffff,4,0,1,583.062907169268,49,42843.2736648321
-67.6494712533189,-6.45480014993431,848a743ffffffff,4,0,0,0,,4.57536536843418
-52.603824768121,-4.33454426347916,848a96bffffffff,4,0,0,5.23149446499965,,127.324087317553
-67.9727778728118,-7.23837577445767,848b5b5ffffffff,4,0,0,0,,64.7089214626164
-65.3380597374959,-8.41147154446627,848a28dffffffff,4,0,0,0,,13.7960567070986
-63.5934861084479,2.67319135177304,848acabffffffff,4,0,0,105.788471671585,,2009.80620685965
-50.6603172488738,-27.8293171576591,84a824dffffffff,4,1,4,2808.98090379168,86,12442.8456878513
-61.8236412181098,-6.11729631600519,848a1c1ffffffff,4,0,0,22.685798668652,,7058.33340471587
-66.7397153551591,-7.0971067998699,848a293ffffffff,4,0,0,0,,1.20596501960608
-57.5082865548728,-1.71391377774751,848a885ffffffff,4,0,0,0,,203.87180135306
-65.6498340317651,-9.19285225410785,848a2c1ffffffff,4,0,0,2487.65212980566,,75.2003094474494
-53.4894828833697,-28.3454708594502,84a909bffffffff,4,1,3,3088.13255527244,303,54441.0615945458
-55.942626281723,-3.72311852531923,848a807ffffffff,4,0,0,507.907668381504,,223.571239103097
-51.5930293654447,-28.8697511050522,84a9085ffffffff,4,3,9,4814.33938812546,362,79057.211086154
-62.1194230980518,-6.89312615783486,848a023ffffffff,4,0,0,0,,86.7590866636165
-68.1219127115673,0.86802296855387,848a5b3ffffffff,4,0,0,0,,104.890876316349
-58.5331820062494,-13.4428593008375,848bae9ffffffff,4,0,0,2287.13527347726,1,1148.27909246087
-62.5510652611459,-2.19681314430222,848ae21ffffffff,4,0,0,0,,51.1245709653886
